tip_label,species,latin,common,harem_size,male_weight,female_weight,male_length,female_length,IUCN_rating,Abundance,BreedingType,birth_mass,breeding_season_length,lactation_length,life_span_years,latitude,rel_birth_weight,log_male_weight,log_female_weight,Longevity,Generation_time,Age_primiparity,g2,CIlow,CIup,p_val,num_alleles_mean,num_alleles_mean.CIlow,num_alleles_mean.CIhigh,num_alleles_sd,num_alleles_sd.CIlow,num_alleles_sd.CIhigh,exp_het_mean,exp_het_mean.CIlow,exp_het_mean.CIhigh,exp_het_sd,exp_het_sd.CIlow,exp_het_sd.CIhigh,obs_het_mean,obs_het_mean.CIlow,obs_het_mean.CIhigh,obs_het_sd,obs_het_sd.CIlow,obs_het_sd.CIhigh,mean_allele_size_sd,mean_allele_size_sd.CIlow,mean_allele_size_sd.CIhigh,sd_allele_size_sd,sd_allele_size_sd.CIlow,sd_allele_size_sd.CIhigh,mean_allele_size_kurtosis,mean_allele_size_kurtosis.CIlow,mean_allele_size_kurtosis.CIhigh,sd_allele_size_kurtosis,sd_allele_size_kurtosis.CIlow,sd_allele_size_kurtosis.CIhigh,mean_allele_range,mean_allele_range.CIlow,mean_allele_range.CIhigh,sd_allele_range,sd_allele_range.CIlow,sd_allele_range.CIhigh,mratio_mean,mratio_mean.CIlow,mratio_mean.CIhigh,mratio_sd,mratio_sd.CIlow,mratio_sd.CIhigh,prop_low_afs_mean,prop_low_afs_mean.CIlow,prop_low_afs_mean.CIhigh,prop_low_afs_sd,prop_low_afs_sd.CIlow,prop_low_afs_sd.CIhigh,IAM_ratio,IAM_Wilc_Exc,TPM70_ratio,TPM70_Wilc_Exc,TPM80_ratio,TPM80_Wilc_Exc,TPM90_ratio,TPM90_Wilc_Exc,SMM_ratio,SMM_Wilc_Exc,nloc,nind,short,bot,neut,common_abbr,SSD,abc_out,logAbundance,logharem_size,logmale_weight,logbreed_season,loglactation_length,logSSD
Odobenus_rosmarus,atlantic_walrus,Odobenus rosmarus,Walrus,5,1050,655,300,250,vulnerable,19e3,ice,63.4,50,730,40,75,0.08527236045729657,3.0211892990699383,2.871280972857973,14600,5530,1825,0.006908689228250164,-0.0016891881837683238,0.01508536839093165,0.05,4.5699,4,5.1,2.0880284728554694,1.4907119849998598,2.699999695109789,0.612172610666767,0.5501051771585828,0.6684265565875472,0.22564945194017486,0.16204445624668126,0.29464027670657084,0.5815094841269841,0.47937500000000005,0.6727886904761905,0.24534878354671696,0.17053684227451998,0.3235162149353995,1.5227299023587524,1.3044204954642282,1.7306548569808182,0.9102790281281585,0.7111658068146348,1.0989376066968615,4.070238286928184,2.7365843371273897,5.764943749076907,3.2626700329479883,1.109773675308864,5.84802066264485,4.991002777777778,4.2,5.8,2.80758723881134,2.1107693211613388,3.5418137224371984,0.7970673137048138,0.7244811507936508,0.8741617965367965,0.1817865138713774,0.12618579940049085,0.23441962942749198,0.1670584163059163,0.04523214285714286,0.2908844696969696,0.20325442434366447,0.10540925533894598,0.27940495155913303,0.9,0.00342,0.7,0.09668,0.6,0.1875,0.5,0.53906,0.1,0.99756,10,623,W,0.443,0.557,Walrus (W),1.6030534351145038,neut,9.852194258148577,1.6094379124341003,6.956545443151569,3.912023005428146,6.593044534142437,0.4719102075163171
Callorhinus_ursinus,northern_fur_seal,Callorhinus ursinus,Northern Fur Seal,36.4,227,44.75,213,135,vulnerable,129e4,land,5.8,45,118,26,54.5,0.134648868253047,2.3560258571931225,1.6342252861200661,12775,4745,2007,0.00391097838321719,-0.0024990613131685765,0.010173297433521255,0.081,7.844,6.996875000000003,8.75,2.3512118158557755,1.4880476182856899,3.1961888699387306,0.8047273862650507,0.7612526337289302,0.8477244582043344,0.19971830220963485,0.11013510507722123,0.2826716201866045,0.7425300595238096,0.6604079861111111,0.825,0.2760691181872069,0.181909968516845,0.3693623849670828,4.032662280664926,3.0847326361514362,4.78262820803211,2.037760372612492,0.9666367461062365,3.267219474882582,3.4630736670097533,2.216440580438139,5.423279878497053,2.5549556279387087,0.5986143478036535,5.640456791006185,13.345431547619048,10.310937500000001,15.1875,6.354276184932278,3.167214864829982,7.972049386987729,0.6183060984201731,0.5366608936039611,0.7158778966131907,0.2445180636787885,0.17253375626986572,0.31219912902715014,0.24194774236180486,0,0.4666683576839827,0.20748411005953676,0,0.31068939610777946,0.875,0.09766,0.75,0.23047,0.75,0.37109,0.5,0.52734,0.125,0.99609,8,492,NFS,0.398,0.602,Northern Fur Seal (NFS),5.072625698324022,neut,14.070152776337855,3.594568774642695,5.424950017481403,3.8066624897703196,4.770684624465665,1.6238585727605384
Eumetopias_jubatus,stellers_sea_lion,Eumetopias jubatus,Steller Sea Lion,11.8,1e3,287.55,300,240.15,near threatened,78e3,land,21.1,45,320,30,57,0.07501555417296242,3,2.4491311333577364,11461,3650,2420,0.0030473952434229012,-0.001309306804889441,0.007922805598546988,0.093,4.708153846153846,4.3076923076923075,5.153846153846154,1.6508284709289185,1.2506408613597126,2.0970827792002282,0.6579984720982756,0.6153744939271256,0.6975809716599191,0.1891583366752198,0.13957342261849534,0.24147048286904332,0.6416934981684982,0.5615384615384615,0.7230769230769231,0.21957172023167681,0.155185379181361,0.28102946969193376,1.600606151236477,1.4549764653621853,1.786115536399798,0.8629456798539441,0.729680454502797,1.0512019590501642,3.246949310317812,2.3525211339834367,4.334952222962438,2.5610105674648067,0.9283443125666196,4.777055566329719,5.052378205128205,4.3076923076923075,5.769230769230769,2.330166351015618,1.6131469877046334,3.2248031752631876,0.8243086758149258,0.7657623626373626,0.8858974358974359,0.20276659231162741,0.1679390348506453,0.2421492450690054,0.2105788156288156,0.11501144688644689,0.30864468864468864,0.19581083951774927,0.13914561861421387,0.2558127566530198,0.9230769230769231,0.00116,0.6923076923076923,0.05493,0.6153846153846154,0.1698,0.5384615384615384,0.47302,0.3076923076923077,0.98669,13,668,SSL,0.448,0.552,Steller Sea Lion (SSL),3.477656059815684,neut,11.26446410567173,2.468099531471619,6.907755278982137,3.8066624897703196,5.768320995793772,1.2463585208223737
Zalophus_californianus,california_sea_lion,Zalophus californianus,California Sea Lion,16.2,289,86,225,180,least concern,226e3,land,8.3,60,330,17,33,0.09595375722543353,2.4608978427565478,1.9370161074648142,11990,5307,2328,-9.140215626768367e-5,-0.004194907883675591,0.004534308931347929,0.502,5.398769230769231,4.846153846153846,5.923076923076923,1.320316504836114,0.8623164985025763,1.8501559185854912,0.7428870492008323,0.7036402185705591,0.7761060834590247,0.08304333603091317,0.04923427784470049,0.12401028872345603,0.7394299145299146,0.6675091575091575,0.8076923076923077,0.14380436946840053,0.08610993227295942,0.2056912586816446,2.2373618225064797,2.0234185484138134,2.4377960896178617,1.0950895093974162,0.7299192182676041,1.4695129368265702,2.88799589623684,2.232688097199047,3.856624873853923,1.7306085844059995,0.7502132937585582,3.317626638286345,6.947615384615385,6.153846153846154,7.846153846153846,3.3970881466692093,2.106080885663046,5.101627408777641,0.7404626848922454,0.6748491092241093,0.8059712787212787,0.20525566789561625,0.16008929105587105,0.24760571955005312,0.22922153402153403,0.13881181318681318,0.327135989010989,0.18347820100016735,0.12637332155487963,0.23660056075066843,0.9230769230769231,1.2e-4,0.6923076923076923,0.09546,0.6153846153846154,0.31775,0.5384615384615384,0.68225,0.23076923076923078,0.99664,13,347,CSL,0.555,0.445,California Sea Lion (CSL),3.36046511627907,bot,12.328290278254423,2.785011242238338,5.666426688112432,4.0943445622221,5.799092654460526,1.2120793918589245
Zalophus_wollebaeki,galapagos_sea_lion,Zalophus wollebaeki,Galapagos Sea Lion,13.5,200,78,NA,NA,endangered,9900,land,4,180,545,20,0,0.05228758169934641,2.3010299956639813,1.8836614351536176,NA,3650,2285,-1.267359219306874e-4,-0.002694276374180995,0.0023344756458231583,0.525,4.710272727272727,4.363636363636363,5.090909090909091,1.9100343976483938,1.491893892736741,2.324441861042721,0.6246997498201833,0.5863516746411482,0.6616007599211933,0.19551772371470463,0.15460793245306356,0.23684687630546283,0.6247580808080808,0.5680681818181819,0.6863636363636364,0.22770597394276523,0.17874018000453046,0.27540210555546546,1.6609757899343178,1.5268319196650608,1.8191071409190145,1.5006206764419285,1.2892747153584454,1.7076852508381748,3.765383289355917,2.9129471101380924,4.776575321037687,2.829180623630779,1.2704187182976057,4.680169388595693,5.460017532467533,4.818181818181818,6.250568181818181,4.226286646540045,3.417859573888299,5.8983604491724035,0.8391025463187581,0.7874744528796562,0.8818333119731145,0.20861161641625758,0.1767577577935936,0.23879542406625456,0.26596888086660814,0.19033279220779226,0.3396176046176046,0.2018944586043991,0.15357457236633681,0.2465977267936372,0.8181818181818182,2e-5,0.5454545454545454,0.53802,0.45454545454545453,0.85489,0.2727272727272727,0.99584,0.09090909090909091,1,22,781,GSL,0.209,0.791,Galapagos Sea Lion (GSL),2.5641025641025643,neut,9.20029003612268,2.6026896854443837,5.298317366548036,5.19295685089021,6.300785794663244,0.9416085398584451
Arctocephalus_pusillus,australian_fur_seal,Arctocephalus pusillus,Australian Fur Seal,10.2,307,84,215.6,157.2,least concern,12e4,land,7.8,60,330,18,39,0.10176125244618395,2.4871383754771865,1.884512159190394,9691,3588,1095,0.012751348700343224,-0.014595700712102554,0.043337403174966045,0.199,4.7014,3.8,5.4,2.3078500547442826,1.4832396974191326,3.1622776601683795,0.5900252631578947,0.508421052631579,0.6642105263157894,0.2735986917007224,0.1870210403776258,0.35111324120088905,0.57572,0.45999999999999996,0.7,0.2819058990013063,0.1641616951454717,0.38340579025361626,2.0615664247980083,1.6909400468632454,2.367530083812078,1.293666272947416,1.0401902010789255,1.5450490249211808,4.4131086339838825,2.140021744475663,7.12652981515848,4.1909276789445435,0.7551280437042607,7.430653815027096,6.7128,5,8.506249999999994,4.054344971499868,2.7534059614901207,4.868264577855234,0.6934929111166611,0.5672018398268397,0.8148095238095238,0.19841394183698544,0.09193030351785494,0.2582323788512554,0.2658629797979798,0.09992857142857149,0.4367222222222221,0.19284375030811274,0.09072635519097004,0.294558417576675,0.8,0.10938,0.4,0.89063,0.2,0.95313,0.2,0.96875,0,1,5,183,AFS,0.395,0.605,Australian Fur Seal (AFS),3.6547619047619047,neut,11.695247021764184,2.3223877202902252,5.726847747587197,4.0943445622221,5.799092654460526,1.2960309487438835
Otaria_flavescens,south_american_sea_lion,Otaria byronia / Otaria flavescens,South American Sea Lion,6,300,144,234.88,188.86,least concern,25e4,land,13,180,548,20,42,0.09187279151943463,2.4771212547196626,2.150756439860309,9819,2555,1460,0.001085668136641571,-0.003645748689274339,0.006226627756616403,0.281,4.940285714285714,4.523809523809524,5.333333333333333,1.9648966850253393,1.569045812557671,2.3432273012092613,0.6709645065767689,0.6392471728907487,0.702296918767507,0.16479946646017174,0.1300827766643714,0.2023191304738438,0.6661359410430839,0.6,0.7285714285714285,0.20235346145610805,0.1541159766577953,0.24996966913258237,1.9542004725591695,1.7529703231413474,2.124237636909977,1.4593741009072063,1.1074284747376077,1.7866645342677565,3.0611299825174862,2.492226395007713,3.8452975245690193,2.1469072948127903,1.13542292410813,3.812211951658704,6.224290043290043,5.590909090909091,6.818181818181818,4.491739122861342,3.8626233709029467,5.172667888045225,0.7725870428606839,0.7292507179537255,0.8132055940091655,0.2096201125764702,0.18048278846861213,0.23569110932192283,0.2027695473838331,0.1111819727891157,0.2914640022675737,0.19952032680450588,0.15095878195298382,0.2461120848737801,0.9545454545454546,2e-5,0.7727272727272727,0.00162,0.6818181818181818,0.04587,0.45454545454545453,0.71697,0.18181818181818182,0.99985,22,270,SASL,0.469,0.531,South American Sea Lion (SASL),2.0833333333333335,neut,12.429216196844383,1.791759469228055,5.703782474656201,5.19295685089021,6.306275286948016,0.7339691750802005
Phocarctos_hookeri,new_zealand_sea_lion,Phocarctos hookeri,New Zealand Sea Lion,12.9,364,183,225,180,endangered,9880,land,7.6,30,365,23,50,0.05105811219348337,2.561101383649056,2.1727488389827436,NA,3650,NA,9.268236673383168e-4,-0.004721285402488639,0.00781439398760589,0.354,4.83564705882353,4.411764705882353,5.236764705882352,1.9208811987497798,1.3929296713017107,2.4763588070343263,0.6771058002783553,0.6393114490378194,0.7107205730589449,0.14550840939302234,0.10597420334927768,0.1905687551124672,0.6691486227824464,0.6,0.733843954248366,0.17986489751416104,0.12747406329387104,0.23452273513716665,1.7529413385602897,1.5677200871052257,1.9298035265376872,1.0293944793147545,0.8274231896212884,1.265649528729885,3.056089576481952,2.406525835973546,3.8370429538741964,1.7499357576934451,0.8779256089407951,3.1997568849811175,5.786769485294117,5.0588235294117645,6.470588235294118,3.8020015343192632,2.8394859571198747,4.565097970942802,0.792518858411503,0.7387857506498238,0.8465252437620858,0.2064411354908788,0.1690746048444584,0.24176521924639024,0.22139082877906407,0.10633928571428575,0.3080551311433664,0.18450573294892933,0.13657882394361004,0.22894121007835644,1,0,0.7058823529411765,0.00467,0.7058823529411765,0.03984,0.47058823529411764,0.44498,0.35294117647058826,0.98023,17,205,NZSL,0.472,0.528,New Zealand Sea Lion (NZSL),1.989071038251366,neut,9.198267790741914,2.5572273113676265,5.8971538676367405,3.4011973816621555,5.8998973535824915,0.6876677147953197
Arctocephalus_gazella,antarctic_fur_seal,Arctocephalus gazella,Antarctic Fur Seal,10.3,155,38.2,185.9,128.75,least concern,5e6,land,5.3,30,116,23,54,0.1367741935483871,2.1903316981702914,1.588271706842329,8395,3342,1278,0.0021572554220730122,-0.001413433205176037,0.0062166550836417365,0.032,7.160285714285714,6.666666666666667,7.619047619047619,2.3589778589635975,1.9395630337539334,2.8091050160902826,0.8113066928452156,0.7850762658864716,0.8337549756744802,0.11590829047215574,0.08908822862335584,0.1505980676396816,0.8063511337868481,0.7535681216931216,0.8560978835978836,0.15452192270565715,0.10971323364412001,0.20503817012811254,3.2349562874297186,2.959410013366245,3.483425648948939,1.6744803652362745,1.3645195437370636,1.9586587700334603,3.1286363037571965,2.424114517981194,3.9833677444733215,2.077857055643692,0.8393327422596848,3.5976034657738745,10.907809523809524,9.857142857142858,11.952380952380953,5.71130665065574,4.587638598906005,6.668055844643523,0.6707653400898319,0.6123395399060625,0.7252745902379396,0.18876305573148017,0.15912637701961857,0.21966725291917685,0.26343609935038503,0.025396825396825397,0.36367750635607776,0.19378068338095214,0.08728715609439695,0.2438148103394536,1,0,0.9523809523809523,0,0.9047619047619048,0,0.9047619047619048,2e-5,0.5714285714285714,0.44587,21,246,AntFS,0.837,0.163,Antarctic Fur Seal (AntFS),4.057591623036649,bot,15.424948470398375,2.33214389523559,5.043425116919247,3.4011973816621555,4.7535901911063645,1.4005896013067172
Arctocephalus_tropicalis,subantarctic_fur_seal,Arctocephalus tropicalis,Subantarctic Fur Seal,6.5,152.5,49.8,NA,NA,least concern,4e5,land,4.7,50,300,25,38,0.09437751004016065,2.1832698436828046,1.6972293427597176,8395,3913,1838,9.171867457442584e-4,-0.0019087676308793327,0.004489993018035732,0.253,6.355135135135135,5.837837837837838,6.864864864864865,2.770535224392285,2.35863780152054,3.1741908926728324,0.7297067474999364,0.7048679648757048,0.7529687659796018,0.22318260175775498,0.19715819808069812,0.24995661567960983,0.70943712998713,0.6726614114114116,0.7456531531531532,0.24961025391834332,0.22192207431614897,0.27561500017891327,3.3923081678756546,3.0624084417136617,3.6994777756972983,3.354821724031055,2.330865372396449,4.180038071761489,3.7445797870953395,3.069642570813886,4.488356427636321,2.7070954577404915,1.4561772604580052,3.9729540254597007,12.437508988147812,11.13888888888889,13.63888888888889,12.338642136127,8.88001818826182,14.024835126504613,0.6618827512661449,0.6190573577988169,0.7040823558530748,0.2522262289029764,0.2246716745821701,0.2789203588635337,0.2713066909066909,0.18367855680355685,0.35092859092859086,0.22004397262230746,0.18867271329953486,0.2537789213372599,0.8648648648648649,0,0.6216216216216216,0.15085,0.5675675675675675,0.5297,0.43243243243243246,0.92547,0.1891891891891892,1,37,88,SAntFS,0.473,0.527,Subantarctic Fur Seal (SAntFS),3.062248995983936,neut,12.89921982609012,1.8718021769015913,5.0271645960474665,3.912023005428146,5.703782474656201,1.1191496120168591
