title galapagos sea lion																							
A05																							
A12																							
D01																							
E05																							
Hg42																							
PV9																							
A07																							
B09																							
C03																							
C11																							
D02																							
H09																							
Zcc58																							
E03																							
F07																							
Hg61																							
Hg81																							
Zcc7t																							
B07																							
E04																							
E12																							
Pv11																							
Pop																							
1	,	4248	3436	2626	2424	2424	2832	3440	2632	3234	3044	4242	3232	3236	3030	2222	2630	2426	2630	2428	2226	4446	1014
2	,	4460	3436	3030	2424	2424	2838	3436	2832	3244	2848	4242	3232	2632	3030	2424	2628	2628	2630	2628	2226	2046	1014
3	,	4650	3840	3030	2426	2424	3232	3840	3030	3638	2842	3450	3232	2428	3030	2224	2628	2426	2626	2626	2430	4450	1014
4	,	4454	3438	2830	2426	2424	3438	3842	2630	3234	2828	3442	3232	2832	2630	2024	2828	2426	2626	2628	2430	2020	1010
5	,	4458	2840	2630	1824	2424	3238	3438	2830	3838	2828	4242	3232	3032	3032	2426	3032	2426	2430	2426	2630	4648	1014
6	,	4246	2834	2628	2424	2426	1834	3844	2630	3238	2844	4250	3232	2632	3030	2426	2630	2424	2830	2626	2626	2046	1010
7	,	4452	3840	2630	2626	2424	2834	3838	2628	3636	2848	3434	3236	2632	3030	2226	2628	2426	2626	2626	2024	1620	1010
8	,	4244	3234	2830	2426	2424	2840	3840	3032	3238	2844	2048	3232	2832	3030	2226	2628	2224	2628	2630	2632	1844	1010
9	,	4244	3844	2430	2426	2424	3232	3440	2832	3232	2844	4042	3232	2828	3032	2226	3030	2224	2630	2626	2430	2048	1014
10	,	4446	3434	3030	2424	2424	3236	4040	3030	3838	2846	4450	3232	2828	3030	2426	2436	2224	2626	2628	2226	1844	1010
11	,	4446	3236	3030	2424	2424	3438	3840	3030	3840	2844	3438	3232	2828	3030	2424	2628	2224	2628	2626	2630	4446	1010
12	,	4658	2836	3030	2626	2424	3232	3440	2626	3844	3040	3442	3032	2830	3030	2426	2628	2426	2628	2626	2226	2048	1010
13	,	4446	3440	2632	2428	2424	2838	4040	2630	3838	4444	4256	3232	2628	3030	2224	2628	2426	2628	2630	2426	2040	1214
14	,	4250	2238	2830	2426	2424	3232	3838	2830	3232	4444	3440	3232	2832	3032	2424	2830	2226	2626	2626	2226	2020	1014
