title hooded seal																							
Hg4.2																							
Hg6.1																							
Hg6.3																							
Hg8.1																							
Hg8.9																							
Hgdii																							
Hl16																							
Hl20																							
Hl8																							
Lw7																							
Pv9																							
Pvc26																							
Pvc78																							
Pop																							
1	,	6060	3535	6268	6864	3238	3333	3333	5860	5466	5656	6268	5858	3234									
2	,	4852	3535	7070	7086	3232	3335	3537	5862	5254	5656	6268	5858	3246									
3	,	5064	3535	6872	7092	4648	3333	3335	5862	6266	5672	6868	5860	3232									
4	,	4874	3547	6666	8696	3648	3345	3335	5254	5254	5674	6262	5860	4446									
5	,	4860	3535	7678	6864	4046	3535	3135	5262	5656	5668	6868	5862	3232									
6	,	4848	3535	7676	7088	3842	3137	3535	5658	5454	5660	6068	5860	3646									
7	,	4850	3535	7082	7086	3636	4545	3535	5658	5256	5658	6268	5858	3232									
8	,	4852	3535	7078	7086	3248	4145	3335	5662	5252	5670	6868	5860	3244									
9	,	5058	3547	6870	7278	3446	3341	3133	5866	5664	5656	7072	6060	2222									
10	,	4848	3547	7084	6474	3646	3535	3333	5658	5656	6874	6264	5858	3236									
11	,	5050	3535	6874	7688	3238	3535	3335	0000	5460	5872	6868	5858	3248									
12	,	4850	3547	6482	7678	3446	2133	3535	5662	5270	5656	6668	5858	3452									
13	,	4854	3555	6878	7688	3246	2133	3133	4866	4856	5672	6868	5858	2232									
14	,	4858	3537	6676	8090	3850	3145	3335	5858	5262	6060	6868	6062	3248									
15	,	4874	3535	6270	6876	4446	3535	2935	5860	5462	5656	6868	5860	3234									
16	,	4850	3535	7070	7888	3232	3537	3333	5872	5460	6074	6062	5858	3234									
17	,	4854	3535	6868	6488	4248	3539	3535	5664	5662	5660	6064	5858	4648									
18	,	4850	3535	6872	7088	3446	3343	3341	5454	5456	6068	6266	5858	3232									
19	,	4858	3535	6874	6474	3452	3537	3335	5858	5056	5656	6270	5860	3642									
20	,	5860	3537	6668	7062	5052	3143	3335	5658	5254	5660	6262	5858	3234									
21	,	4848	3547	6868	6488	3850	3545	3335	5662	5660	5668	6268	5858	3232									
22	,	6066	3547	7076	7072	3450	3333	3535	5058	5658	6068	6668	5858	3236									
23	,	4862	3535	6674	7086	4848	3541	3535	5458	5460	5668	6668	5858	3244									
24	,	4852	3535	7076	6886	3250	3343	3335	5460	5656	5868	6872	5860	4650									
25	,	5062	4747	7076	6472	3852	3341	3535	5256	5256	5656	6268	5864	3232									
