title ross seal																
WS7																
WS10																
LS8																
LS15																
LS16																
LS20																
CS18																
CS28																
G1A																
Pop																
1	,	6666	2834	2296	1214	3030	3638	2841	2630	7682						
2	,	6666	2236	9098	1416	3036	1014	4650	3030	7476						
3	,	6666	3438	9799	1416	3036	1024	4252	3034	7690						
4	,	6066	3442	9196	1416	3036	1212	5355	3032	7678						
5	,	6666	3436	9394	1216	3032	1238	4950	3436	6876						
6	,	6668	3038	9598	1416	3032	1238	3551	3034	7678						
7	,	6666	2248	9495	1214	3038	1038	4345	2630	7684						
8	,	6666	3030	9296	1212	3040	1036	5163	2630	7678						
9	,	6066	1240	2298	1212	3032	1010	4141	2630	7678						
10	,	6066	2628	9498	1214	3036	1638	4145	2630	8080						
11	,	6666	3446	9498	1214	3030	1422	4353	2630	7482						
12	,	6666	3638	9196	1212	3242	1424	4454	3236	7678						
13	,	6666	2830	9696	1414	3030	1634	6263	3032	7688						
14	,	6668	2240	9698	1414	3038	2238	4856	3030	6778						
15	,	6666	1446	9198	1216	3236	2432	4343	3030	7474						
16	,	6668	3638	2494	1416	3240	1238	4755	3030	9092						
17	,	6666	1040	9898	1216	3032	1038	5657	3032	7890						
18	,	6666	3646	9898	1216	3234	2024	4144	3036	7476						
19	,	6666	1422	2096	1214	3030	1236	4145	2630	7886						
20	,	6666	2236	9496	1214	3030	1838	2844	3030	6876						
21	,	6666	3036	9696	1214	3030	1038	3345	3030	7678						
22	,	6666	3638	9698	1214	3030	3838	5454	3236	7078						
23	,	6666	2034	9396	1212	3030	1024	4650	3032	7880						
24	,	6666	3438	9898	1414	3042	1832	2855	3234	7676						
25	,	6666	3236	9393	1414	3232	1218	3543	3034	7884						
26	,	6066	3436	9398	1416	3030	1636	4254	3030	8490						
27	,	6668	1040	9091	1214	3038	1012	4157	2630	8082						
28	,	6668	1636	9298	1216	3640	1022	5253	3034	7676						
29	,	6668	2634	9098	1416	3032	3638	4452	3032	7686						
30	,	6666	3244	9195	1414	3232	3838	3239	2630	7690						
31	,	6066	3036	9098	1214	3034	1224	5358	2630	8286						
32	,	6668	1440	9698	1220	3048	1236	4261	3034	7680						
33	,	6466	2436	9698	1212	3040	1238	4350	3032	6876						
34	,	6666	3644	9596	1414	3030	1818	4153	2630	8686						
35	,	6666	2436	9898	1212	3030	1424	4546	3030	7878						
36	,	6066	2236	2298	1214	3036	2838	5456	3034	7678						
37	,	6666	1222	9696	1212	3236	1236	3567	3034	7476						
38	,	6666	3640	9196	1414	3032	1024	4344	2630	7682						
39	,	6666	3030	9696	1214	3236	1438	3557	3030	8094						
40	,	6666	3036	2094	1416	3036	2238	4457	3030	7682						
41	,	6668	1630	2096	1414	3052	1038	4150	3030	7678						
42	,	6666	2634	9097	1616	3030	1016	5261	2630	7886						
43	,	6666	3034	9496	1416	3030	1420	4357	2630	7678						
44	,	6666	1022	9596	1416	3032	1238	4752	2630	7486						
45	,	6666	3040	9696	1414	3032	1422	4448	3032	6868						
46	,	6666	2228	9498	1216	3044	1038	3745	3030	7678						
47	,	6666	2632	2093	1414	3044	1014	4245	2630	7688						
48	,	6066	1232	9697	1414	3044	1010	4759	2630	7686						
49	,	6666	4042	9698	1212	3032	1016	4357	3034	7680						
50	,	6668	3036	2091	1216	3036	2438	5354	3034	7678						
51	,	6666	1046	2020	1416	0000	1038	4654	3030	7084						
52	,	6666	1040	2096	1414	3032	2424	4254	3030	8086						
53	,	6666	3440	9696	1214	3036	1038	4961	3032	7476						
54	,	6066	3236	9295	1214	3030	1038	5052	3030	6680						
55	,	6668	3434	9296	1214	3036	1438	4455	3030	7474						
56	,	6666	3244	9398	1214	3036	1014	5459	2630	7680						
57	,	6666	3436	2096	1218	3234	3638	5763	3030	7676						
58	,	6666	3638	2096	1414	3842	1018	5053	3030	7482						
59	,	6066	3242	9398	1414	3032	1838	3556	3032	7692						
60	,	6668	2836	9496	1414	3240	1036	4951	3030	7880						
61	,	6668	3438	9898	1216	3036	1010	4252	2630	7690						
62	,	6666	2036	2098	1212	3030	1016	5657	2630	7076						
63	,	6668	2230	9698	1414	3030	1012	4651	3030	7074						
64	,	6666	3638	9292	1214	3030	1028	4144	2630	7878						
65	,	6666	3040	2092	1214	3236	1012	5555	2626	8082						
66	,	6666	3636	9394	1216	3030	1836	5151	3030	7480						
67	,	6666	1438	2092	1414	3030	1038	5560	2630	6882						
68	,	6666	3040	2226	1414	3030	1022	5563	3030	7878						
69	,	6668	3036	9096	1414	3030	1036	3557	2626	7478						
70	,	6671	3638	9496	1414	4042	1038	4353	3436	7080						
71	,	6666	2228	9898	1212	3030	1010	4353	2630	7884						
72	,	6666	1240	9696	1414	3846	1438	4158	3030	7682						
73	,	6666	1438	9898	1416	3036	2436	5457	3034	9096						
74	,	6666	2836	9698	1216	3036	1418	4755	3030	7480						
75	,	6666	3846	9696	1414	3030	3638	4144	3030	7478						
76	,	6668	2836	9698	1414	3238	1618	5557	2630	7476						
