"species" "bot_p" "neut_p"
"antarctic_fur_seal" 0.88 0.72
"guadalupe_fur_seal" 0.96 0.92
"subantarctic_fur_seal" 0.97 0.84
"galapagos_fur_seal" 0.92 0.99
"stellers_sea_lion" 0.88 0.99
"grey_seal_orkneys" 0.98 0.93
"harbour_seal_waddensee" 0.78 0.91
"galapagos_sea_lion" 0.87 0.94
"south_american_fur_seal" 0.71 0.87
"hooded_seal" 0.69 0.97
"mediterranean_monk_seal" 0.13 0.1
"hawaiian_monk_seal" 0.32 0.13
"bearded_seal" 0.9 0.91
"crabeater_seal" 0.47 0.77
"leopard_seal" 0.98 0.94
"arctic_ringed_seal" 0.13 0.36
"ross_seal" 0.62 0.68
"weddell_seal" 0.83 0.97
"northern_fur_seal" 0.79 0.86
"atlantic_walrus" 0.95 0.94
"nes" 0.22 0.21
"ses" 0.72 0.86
"california_sea_lion" 0.98 0.98
"south_american_sea_lion" 0.94 0.99
"new_zealand_sea_lion" 0.88 0.98
"saimaa_ringed_seal" 0.08 0.03
"lagoda_ringed_seal" 0.95 0.94
"baltic_ringed_seal" 0.76 0.9
"new_zealand_fur_seal" 0.84 0.95
"australian_fur_seal" 0.98 1
