.id,IAM_Heq,IAM_Def.Exc,IAM_Sign,IAM_Stand_Diff,IAM_Wilc_Def,IAM_Wilc_Exc,IAM_Wilc_2Tail,TPM70_Heq,TPM70_Def.Exc,TPM70_Sign,TPM70_Stand_Diff,TPM70_Wilc_Def,TPM70_Wilc_Exc,TPM70_Wilc_2Tail,SMM_Heq,SMM_Def.Exc,SMM_Sign,SMM_Stand_Diff,SMM_Wilc_Def,SMM_Wilc_Exc,SMM_Wilc_2Tail,Mode_Shift,TPM80_Heq,TPM80_Def.Exc,TPM80_Sign,TPM80_Stand_Diff,TPM80_Wilc_Def,TPM80_Wilc_Exc,TPM80_Wilc_2Tail,TPM90_Heq,TPM90_Def.Exc,TPM90_Sign,TPM90_Stand_Diff,TPM90_Wilc_Def,TPM90_Wilc_Exc,TPM90_Wilc_2Tail
antarctic_fur_seal_HW,  12.48,0  vs 21, 0.00002,  0.00000, 1.00000, 0.00000, 0.00000,  12.40,1  vs 20, 0.00024,  0.00000, 1.00000, 0.00000, 0.00000,  12.33,8  vs 13, 0.47575,  0.30860, 0.58090, 0.43244, 0.86489,normal L-shaped distribution,  12.38,2  vs 19, 0.00179,  0.00003, 1.00000, 0.00000, 0.00000,  12.33,2  vs 19, 0.00166,  0.00098, 0.99998, 0.00002, 0.00004
arctic_ringed_seal_HW,   6.10,2  vs 8, 0.18364,  0.01656, 0.94727, 0.06543, 0.13086,   5.85,6  vs 4, 0.19296,  0.00008, 0.21582, 0.81250, 0.43164,   6.23,10  vs 0, 0.00006,  0.00000, 0.00049, 1.00000, 0.00098,normal L-shaped distribution,   5.85,7  vs 3, 0.06671,  0.00000, 0.06543, 0.94727, 0.13086,   5.80,8  vs 2, 0.01728,  0.00000, 0.00488, 0.99658, 0.00977
atlantic_walrus_cl_2_HW,   4.99,1  vs 8, 0.03999,  0.01388, 0.99316, 0.00977, 0.01953,   5.21,3  vs 6, 0.42984,  0.33691, 0.87500, 0.15039, 0.30078,   5.31,7  vs 2, 0.02903,  0.00001, 0.00684, 0.99512, 0.01367,normal L-shaped distribution,   5.26,3  vs 6, 0.44410,  0.42673, 0.71484, 0.32617, 0.65234,   5.29,6  vs 3, 0.11327,  0.11858, 0.36719, 0.67383, 0.73438
atlantic_walrus_HW,   3.29,1  vs 5, 0.16020,  0.03345, 0.98438, 0.02344, 0.04688,   3.46,2  vs 4, 0.49766,  0.40109, 0.78125, 0.28125, 0.56250,   3.55,5  vs 1, 0.04527,  0.00003, 0.02344, 0.98438, 0.04688,normal L-shaped distribution,   3.49,2  vs 4, 0.50730,  0.39577, 0.71875, 0.34375, 0.68750,   3.53,3  vs 3, 0.47990,  0.12623, 0.50000, 0.57813, 1.00000
australian_fur_seal_HW,   2.90,1  vs 4, 0.30436,  0.22715, 0.92188, 0.10938, 0.21875,   2.95,3  vs 2, 0.33349,  0.18941, 0.31250, 0.89063, 0.62500,   2.94,5  vs 0, 0.01198,  0.00000, 0.01563, 1.00000, 0.03125,normal L-shaped distribution,   2.96,4  vs 1, 0.09376,  0.08063, 0.07813, 0.95313, 0.15625,   2.95,4  vs 1, 0.09451,  0.01240, 0.04688, 0.96875, 0.09375
baltic_ringed_seal_HW,   9.59,3  vs 13, 0.06435,  0.03942, 0.99451, 0.00655, 0.01309,   9.59,10  vs 6, 0.05872,  0.28522, 0.21660, 0.79813, 0.43320,   9.48,13  vs 3, 0.00115,  0.00001, 0.00258, 0.99895, 0.00516,normal L-shaped distribution,   9.51,10  vs 6, 0.06422,  0.14630, 0.13722, 0.87389, 0.27444,   9.50,11  vs 5, 0.02161,  0.02682, 0.04672, 0.95837, 0.09344
bearded_seal_cl_1_HW,   7.30,2  vs 11, 0.03146,  0.00800, 0.99957, 0.00061, 0.00122,   7.44,5  vs 8, 0.49288,  0.37243, 0.68225, 0.34241, 0.68481,   7.55,9  vs 4, 0.04343,  0.00008, 0.03406, 0.97131, 0.06812,normal L-shaped distribution,   7.49,5  vs 8, 0.50274,  0.39174, 0.47302, 0.55371, 0.94604,   7.53,7  vs 6, 0.27904,  0.12026, 0.22742, 0.79285, 0.45483
bearded_seal_HW,   5.83,1  vs 9, 0.03651,  0.00754, 0.99951, 0.00098, 0.00195,   5.86,6  vs 4, 0.19088,  0.48452, 0.61523, 0.42285, 0.84570,   5.89,7  vs 3, 0.06304,  0.00000, 0.00928, 0.99316, 0.01855,normal L-shaped distribution,   5.88,6  vs 4, 0.18733,  0.33319, 0.53906, 0.50000, 1.00000,   5.89,6  vs 4, 0.18578,  0.04970, 0.13770, 0.88379, 0.27539
california_sea_lion_HW,   7.04,1  vs 11, 0.01568,  0.00040, 0.99988, 0.00024, 0.00049,   7.09,4  vs 8, 0.41256,  0.26654, 0.91187, 0.10181, 0.20361,   7.09,9  vs 3, 0.01810,  0.00000, 0.01709, 0.99329, 0.03418,normal L-shaped distribution,   7.09,4  vs 8, 0.41147,  0.43010, 0.71533, 0.31104, 0.62207,   7.07,5  vs 7, 0.59282,  0.07009, 0.39551, 0.63330, 0.79102
crabeater_seal_HW,   4.25,0  vs 7, 0.03028,  0.00083, 1.00000, 0.00391, 0.00781,   4.12,2  vs 5, 0.39639,  0.05409, 0.98047, 0.02734, 0.05469,   4.11,6  vs 1, 0.02230,  0.00094, 0.01953, 0.98828, 0.03906,normal L-shaped distribution,   4.11,2  vs 5, 0.39186,  0.13504, 0.85156, 0.18750, 0.37500,   4.09,3  vs 4, 0.61312,  0.42244, 0.59375, 0.46875, 0.93750
