1:    0.431 0.569 1    
2:    0.614 0.386 1    
3:    0.589 0.411 1    
4:    0.517 0.483 1    
5:    0.691 0.309 1    
6:    0.570 0.430 1    
7:    0.714 0.286 1    
8:    0.275 0.725 1    
9:    0.759 0.241 1    
10:   0.590 0.410 1    
11:   0.736 0.264 1    
12:   0.645 0.355 1    
13:   0.666 0.334 1    
14:   0.584 0.416 1    
15:   0.545 0.455 1    
16:   0.652 0.348 1    
17:   0.638 0.362 1    
18:   0.436 0.564 1    
19:   0.449 0.551 1    
20:   0.727 0.273 1    
21:   0.632 0.368 1    
22:   0.774 0.226 1    
23:   0.534 0.466 1    
24:   0.630 0.370 1    
25:   0.667 0.333 1    
26:   0.653 0.347 1    
27:   0.583 0.417 1    
28:   0.658 0.342 1    
29:   0.777 0.223 1    
30:   0.629 0.371 1    
31:   0.494 0.506 1    
32:   0.721 0.279 1    
33:   0.577 0.423 1    
34:   0.530 0.470 1    
35:   0.523 0.477 1    
36:   0.779 0.221 1    
37:   0.683 0.317 1    
38:   0.755 0.245 1    
39:   0.618 0.382 1    
40:   0.356 0.644 1    
41:   0.673 0.327 1    
42:   0.724 0.276 1    
43:   0.499 0.501 1    
44:   0.659 0.341 1    
45:   0.759 0.241 1    
46:   0.688 0.312 1    
47:   0.589 0.411 1    
48:   0.456 0.544 1    
49:   0.664 0.336 1    
50:   0.792 0.208 1    
51:   0.593 0.407 1    
52:   0.708 0.292 1    
53:   0.673 0.327 1    
54:   0.514 0.486 1    
55:   0.411 0.589 1    
56:   0.632 0.368 1    
57:   0.808 0.192 1    
58:   0.675 0.325 1    
59:   0.811 0.189 1    
60:   0.715 0.285 1    
61:   0.445 0.555 1    
62:   0.811 0.189 1    
63:   0.599 0.401 1    
64:   0.655 0.345 1    
65:   0.549 0.451 1    
66:   0.660 0.340 1    
67:   0.753 0.247 1    
68:   0.719 0.281 1    
69:   0.575 0.425 1    
70:   0.426 0.574 1    
71:   0.498 0.502 1    
72:   0.760 0.240 1    
73:   0.494 0.506 1    
74:   0.534 0.466 1    
75:   0.685 0.315 1    
76:   0.394 0.606 1    
77:   0.462 0.538 1    
78:   0.509 0.491 1    
79:   0.740 0.260 1    
80:   0.493 0.507 1    
81:   0.408 0.592 1    
82:   0.528 0.472 1    
83:   0.461 0.539 1    
84:   0.458 0.542 1    
85:   0.631 0.369 1    
86:   0.412 0.588 1    
87:   0.690 0.310 1    
88:   0.614 0.386 1    
89:   0.521 0.479 1    
90:   0.385 0.615 1    
91:   0.524 0.476 1    
92:   0.546 0.454 1    
93:   0.595 0.405 1    
94:   0.320 0.680 1    
95:   0.688 0.312 1    
96:   0.593 0.407 1    
97:   0.684 0.316 1    
98:   0.619 0.381 1    
99:   0.601 0.399 1    
100:  0.544 0.456 1    
101:  0.414 0.586 1    
102:  0.729 0.271 1    
103:  0.324 0.676 1    
104:  0.622 0.378 1    
105:  0.584 0.416 1    
106:  0.480 0.520 1    
107:  0.548 0.452 1    
108:  0.593 0.407 1    
109:  0.587 0.413 1    
110:  0.595 0.405 1    
111:  0.519 0.481 1    
112:  0.511 0.489 1    
113:  0.712 0.288 1    
114:  0.456 0.544 1    
115:  0.575 0.425 1    
116:  0.674 0.326 1    
117:  0.556 0.444 1    
118:  0.515 0.485 1    
119:  0.445 0.555 1    
120:  0.381 0.619 1    
121:  0.495 0.505 1    
122:  0.557 0.443 1    
123:  0.673 0.327 1    
124:  0.679 0.321 1    
125:  0.391 0.609 1    
126:  0.700 0.300 1    
127:  0.613 0.387 1    
128:  0.628 0.372 1    
129:  0.319 0.681 1    
130:  0.429 0.571 1    
131:  0.610 0.390 1    
132:  0.622 0.378 1    
133:  0.647 0.353 1    
134:  0.567 0.433 1    
135:  0.260 0.740 1    
136:  0.565 0.435 1    
137:  0.347 0.653 1    
138:  0.656 0.344 1    
139:  0.513 0.487 1    
140:  0.536 0.464 1    
141:  0.484 0.516 1    
