title Atlantic Walrus Shafer N-FB population										
Orr16										
Orr7										
Orr9										
Orr11										
Orr23										
Orr3										
Hgdii										
Hg3.6										
SGPv9										
Pop										
155	,	5858	5860	7072	0000	0000	0000	2121	2525	6769
156	,	7274	7070	7070	0000	0000	0000	2125	2525	6767
157	,	5874	5870	7072	5252	6975	0000	2121	0000	6769
158	,	5872	0000	7072	0000	7375	4040	2121	2525	6767
159	,	5858	7272	7070	0000	6161	0000	2121	2525	6769
160	,	5668	6870	7272	5054	7375	4040	2121	2531	6767
161	,	7072	5870	7074	0000	7575	0000	2121	2525	6767
162	,	0000	6270	0000	5052	7777	4242	2121	2525	6567
163	,	6268	6668	7074	0000	7575	0000	2121	2525	6767
164	,	5674	5270	7072	0000	7781	0000	2123	2525	6767
165	,	0000	6064	0000	5052	6969	4044	2121	2531	6769
166	,	0000	6870	0000	5052	7175	4242	2125	2525	6767
167	,	5872	6470	7072	0000	7577	0000	2121	2531	6767
168	,	5872	6868	7274	5054	0000	4244	2121	2525	6567
169	,	5672	7076	7074	5050	6977	4040	2125	0000	0000
170	,	6272	6670	7070	5054	6975	4042	0000	2525	6769
171	,	6268	6060	7072	5254	6975	3636	0000	0000	6769
172	,	7072	6076	7070	5052	6975	4244	2121	0000	6767
173	,	5870	6470	7070	5052	6975	0000	2123	2525	6769
174	,	5858	6468	7072	0000	6575	0000	2133	3131	6769
175	,	5874	6670	7072	0000	6575	4040	2333	0000	6769
176	,	0000	6468	0000	5050	7375	4242	2123	2525	6769
177	,	7274	6070	7072	0000	6575	0000	2121	2525	6769
178	,	7274	5860	6670	0000	0000	4244	2121	2525	6769
179	,	5872	6668	7272	0000	7575	4242	2121	2525	6567
180	,	5670	7070	7070	5050	7777	0000	2125	2525	6767
181	,	0000	6470	7070	5054	6969	4242	2123	2525	6969
182	,	5872	6270	7072	0000	6969	4244	2121	2525	6767
183	,	6474	6066	7274	5054	7575	4040	2123	2525	0000
184	,	5858	6668	7072	4850	6969	0000	2121	2525	6769
185	,	6868	6070	7274	5050	6973	0000	2121	2531	6769
186	,	5872	7676	7070	5052	7575	0000	2123	2525	6769
187	,	5872	7278	6670	5054	7575	0000	2123	2525	6769
188	,	6472	6670	7274	5050	7777	0000	2133	2525	6567
189	,	7072	6868	7070	5052	6975	4242	2121	2525	6767
190	,	7272	6278	7274	5050	6975	0000	2121	2525	6767
191	,	0000	7070	7070	5052	7375	3642	2121	2525	6769
192	,	5868	5866	7070	4854	7575	0000	2121	2525	6567
193	,	5870	5868	7074	5252	0000	4244	1721	2525	6767
194	,	5872	0000	7070	5052	6575	4242	2121	2525	6567
195	,	5672	6668	0000	5054	6975	3844	2121	2525	6565
