title grey seals Orkneys Holm of Huip									
Hg4_2									
Hg6_1									
Hg6_3									
Hg8_9									
Hg8_1									
Hgd_2									
Pv9									
Pv11									
Pop									
1	,	5151	6264	7577	5357	3947	3737	6264	6466
2	,	5153	6464	7171	4951	4149	2525	6062	6872
3	,	5153	0000	7373	5961	3539	0000	6862	6472
4	,	5159	5062	7577	5761	4151	2525	6264	6670
5	,	5151	5062	7379	5159	3543	2537	6466	6668
6	,	5151	6464	7177	5959	4351	2537	6464	6868
7	,	3951	6466	7375	4957	3941	2537	6272	6870
8	,	3951	6264	7377	5967	3939	3741	6466	6668
9	,	5151	6060	7375	6167	4141	1125	6270	6872
10	,	3951	5064	7375	6163	3939	1139	6672	6668
11	,	5151	6264	7179	4959	3539	1137	6464	6666
12	,	5153	6264	7579	6163	4141	2537	6270	6668
13	,	5151	6264	7179	5961	3945	2537	6466	6868
14	,	5151	5664	7173	6167	4145	2537	6468	7070
15	,	5151	5064	7575	6163	3337	2537	6466	6670
16	,	5153	6262	7577	5559	3535	3737	6464	6870
17	,	5151	6262	6973	5763	3537	2525	6266	6668
18	,	3951	6262	7373	5963	4141	2525	6264	6668
19	,	3951	6262	7375	6163	4151	1125	6472	6868
20	,	5153	6262	7375	5963	3943	2537	6464	6670
21	,	0000	6264	7373	5965	3939	0000	6466	6466
22	,	5151	6264	0000	4967	3939	0000	6264	0000
23	,	5151	6464	7175	5963	3941	2537	6062	6466
24	,	5151	5062	7375	5759	3541	2527	6464	6464
25	,	5153	5660	7175	4967	3947	0000	6262	6060
26	,	5151	6464	7375	4957	3943	2525	6266	6666
27	,	5151	6264	7375	5961	3739	1135	7072	6468
28	,	5153	6262	7375	5759	3941	1137	7072	6266
29	,	5159	6262	7179	5559	3541	2537	6264	6668
30	,	5157	6064	7375	5759	3545	3337	6262	6666
31	,	5357	6064	7373	5967	3939	3737	6466	6666
32	,	5151	6262	7377	6567	3541	2525	6062	6668
33	,	3953	6262	7373	5967	3939	1125	6470	6466
34	,	5151	6262	7179	5965	3939	2537	6466	6670
35	,	5151	5062	7173	6167	3739	2537	6670	6666
36	,	5151	6262	7375	4959	3749	2537	6466	6668
37	,	5151	6262	7171	6165	3741	2539	6266	6668
38	,	5153	6464	7173	4959	3739	0000	6266	6066
39	,	5151	5662	7979	5961	4551	2525	7072	6670
40	,	0000	6464	0000	6161	3939	2535	6470	6666
41	,	3951	6264	7373	5959	3539	2525	6264	6668
42	,	0000	0000	0000	4961	3739	0000	0000	6666
43	,	5153	6262	7373	6161	3739	2525	6066	6670
44	,	5151	6264	7375	5959	3539	2537	7072	6670
45	,	5151	6264	7375	5959	3947	3737	6472	6670
46	,	3951	6262	7375	5959	3947	2537	6872	6870
47	,	5151	6464	7379	5967	3545	2539	6266	6668
48	,	3957	6264	7377	6163	3739	2525	6464	6072
49	,	5157	6062	7175	4959	3539	3737	6270	6868
50	,	5757	6464	7377	4959	3541	3737	6468	6870
51	,	3939	6262	7375	0000	4143	2539	6272	6668
52	,	5353	6264	7171	0000	3941	1139	6666	6668
53	,	5353	6264	7171	5767	3941	1139	6666	6668
54	,	5151	6264	7579	6363	3939	1139	6070	6868
55	,	5151	0000	7379	0000	3941	2525	7272	6666
56	,	5151	5664	7379	5359	3541	3737	6264	6868
57	,	5357	6262	7379	5959	4143	2525	6470	6670
58	,	3939	6062	7179	5961	4343	2539	6670	6666
59	,	5161	6464	7175	6163	3739	1111	6266	6670
60	,	3951	6262	7575	6161	4147	3737	6472	6066
61	,	5151	6264	7177	5961	3951	2537	6668	6670
62	,	3951	5662	7373	5961	3939	2537	6666	6872
63	,	5157	5662	7173	5961	3739	2537	6272	6668
64	,	5157	0000	7375	4961	3543	1111	7072	6666
65	,	0000	6262	7377	5963	3547	2537	6264	6872
66	,	5557	5062	7373	5567	4141	2539	6264	6668
67	,	5153	6062	7979	6161	4149	3939	6272	6668
