species g2 CIlow CIup p_val
antarctic_fur_seal 0.0021572554220730122 -0.001413433205176037 0.0062166550836417365 0.032
subantarctic_fur_seal 9.171867457442584e-4 -0.0019087676308793327 0.004489993018035732 0.253
galapagos_fur_seal -0.0014816627823857065 -0.012776015002217662 0.01239141932956789 0.588
stellers_sea_lion 0.0030473952434229012 -0.001309306804889441 0.007922805598546988 0.093
grey_seal_orkneys 0.001333628451646085 -0.003144376355149967 0.005934746618481751 0.257
harbour_seal_waddensee -0.004614981288395992 -0.015005474422862217 0.00677120902293474 0.775
galapagos_sea_lion -1.267359219306874e-4 -0.002694276374180995 0.0023344756458231583 0.525
south_american_fur_seal 0.015620747456166262 -0.0057055605214957695 0.03969258826071634 0.042
hooded_seal -0.0013748283758170388 -0.0049835549574684035 0.0022034602429418567 0.72
mediterranean_monk_seal 0.0741802238277609 0.008001721840297018 0.15339975674346254 0.01
hawaiian_monk_seal 0.01290770831197352 0.007328646880126811 0.018285105809415066 0.001
bearded_seal -0.005570552381315763 -0.014440335808981002 0.004628938689249809 0.836
crabeater_seal 4.002418822923737e-5 -0.004150835858038756 0.004830846693808831 0.472
leopard_seal -0.0035258292936500846 -0.007605497395178877 0.0010073110039116816 0.91
arctic_ringed_seal 8.254532925520142e-4 -0.0019376222252347696 0.00371342808177758 0.261
ross_seal 0.01379340543880092 5.146209512376617e-4 0.0288213851446527 0.015
weddell_seal 0.0013710498082866174 -9.255821290798378e-4 0.0037535541787739528 0.123
northern_fur_seal 0.00391097838321719 -0.0024990613131685765 0.010173297433521255 0.081
atlantic_walrus 0.006908689228250164 -0.0016891881837683238 0.01508536839093165 0.05
nes 0.006744182313860758 -0.0018873348967677697 0.016353708110067387 0.034
ses 0.001997687490068678 -0.0023004054129793367 0.006464767577652341 0.167
california_sea_lion -9.140215626768367e-5 -0.004194907883675591 0.004534308931347929 0.502
south_american_sea_lion 0.001085668136641571 -0.003645748689274339 0.006226627756616403 0.281
new_zealand_sea_lion 9.268236673383168e-4 -0.004721285402488639 0.00781439398760589 0.354
saimaa_ringed_seal -0.004657973052158426 -0.023688345889659724 0.01513864648880551 0.65
lagoda_ringed_seal 0.0014836795252224366 -0.010158038556342935 0.012212240278405197 0.411
baltic_ringed_seal 0.005936383052168814 -0.004842759158713082 0.020262590793875955 0.164
new_zealand_fur_seal -0.002937430892344217 -0.012582626966347396 0.007027220968532903 0.683
australian_fur_seal 0.012751348700343224 -0.014595700712102554 0.043337403174966045 0.199
