"title Weddell seal dataset, population 2 = cluster 2"																		
WS4																		
WS7																		
WS10																		
WS11																		
WS16																		
WS20																		
LS8																		
LS14																		
LS15																		
LS16																		
LS20																		
CS6																		
CS26																		
CS28																		
G1A																		
Pop																		
77	,	3348	5965	2430	7777	6373	2628	5565	7880	3131	3436	1313	2339	4545	2727	3636		
78	,	3137	5965	3036	7379	7373	2434	6567	7880	2123	3436	1315	2323	4547	2727	3636		
79	,	2948	6365	2430	7374	6573	2830	5565	8080	2131	3646	1313	3137	4145	2735	3636		
80	,	5965	6569	2430	7679	6573	3436	5567	8080	2123	3646	1313	3539	4345	2727	3236		
81	,	3159	6365	3636	7374	6973	2430	5565	7880	3131	3636	1313	3131	4345	2727	3636		
82	,	3348	6365	3032	7374	7373	2628	6365	7878	3133	3646	1315	3337	4545	2727	3636		
83	,	3148	6565	3436	7579	6573	2834	6165	7880	3133	3436	1113	2325	4545	2727	3036		
84	,	3348	5963	2424	7679	6569	3436	6565	7480	2331	3436	1313	3539	4345	2727	3236		
85	,	3131	6365	2428	6777	6573	2430	6565	6682	2131	3436	1313	3133	4345	2727	3636		
86	,	3148	6365	2834	7373	6571	2836	6365	8084	2133	3436	1313	2935	4545	2727	3236		
87	,	4848	5965	2430	7379	7373	3034	6365	7880	2121	3636	1337	3939	3743	2727	3636		
88	,	2948	6565	3636	7373	7373	3034	6365	7478	3131	3638	1315	2737	4545	2727	3636		
89	,	3348	6369	2428	7379	6565	3036	6565	7878	3131	3442	1313	2325	4545	2727	3036		
90	,	3133	6365	3030	7375	6573	2630	5365	6666	2121	3436	1113	3939	4551	2727	3644		
91	,	3348	6365	2430	7777	6373	2630	5567	6680	3131	3636	1313	2329	4145	2727	3636		
92	,	2948	6569	2430	7777	6573	3434	6565	7884	2131	3636	1313	2341	4345	2727	3636		
93	,	4848	5965	3036	7475	6573	2634	6565	7880	2331	3446	1337	3135	4145	2727	3036		
94	,	2948	6565	2436	7377	6565	2628	6565	8080	2131	3436	1313	3133	4545	2727	3236		
95	,	4848	6565	2830	7377	6571	2830	5563	7880	2133	3446	1313	2331	4545	2727	3032		
96	,	3348	6365	3436	7379	7373	2628	5565	8080	2331	3436	1313	3739	4145	2727	3236		
97	,	3131	5963	2436	7677	6569	2834	5365	7880	2131	3434	1315	2335	4551	2727	3642		
98	,	3348	6565	2836	7175	6573	2628	5567	8484	2133	3436	1113	3337	4145	2729	3636		
99	,	2959	5963	3036	7779	7373	2630	6365	8084	2339	3436	1313	2329	4545	2727	3636		
100	,	3148	6565	2436	6974	7373	2834	5563	6680	3139	3034	1315	3741	4143	2729	3636		
101	,	4848	6565	3436	7376	6573	2830	6565	6680	2123	3636	1313	2931	3747	2727	3636		
102	,	3163	6565	2630	7377	7173	2426	6567	6678	2121	3638	1313	2329	4545	2727	3638
